PROBE_ID chr BP gene_name
ENSG00000162688.11 chr1 100315640 AGL
ENSG00000117620.8 chr1 100435345 SLC35A3
ENSG00000156875.9 chr1 100503653 HIAT1
ENSG00000122435.5 chr1 100598719 TRMT13
ENSG00000137996.8 chr1 100731763 RTCA
ENSG00000156876.8 chr1 100549119 SASS6
ENSG00000137992.9 chr1 100659736 DBT
ENSG00000131591.13 chr1 1017203 C1orf159
ENSG00000079335.13 chr1 100818156 CDC14A
ENSG00000162695.7 chr1 101361632 SLC30A7
ENSG00000162694.9 chr1 101337943 EXTL2
ENSG00000117543.15 chr1 101455619 DPH5
ENSG00000170989.8 chr1 101702444 S1PR1
ENSG00000130939.14 chr1 10093016 UBE4B
ENSG00000054523.12 chr1 10270863 KIF1B
ENSG00000240038.2 chr1 104097322 AMY2B
ENSG00000243480.3 chr1 104159999 AMY2A
ENSG00000237763.5 chr1 104198377 AMY1A
ENSG00000142657.16 chr1 10459137 PGD
ENSG00000185946.11 chr1 104068593 RNPC3
ENSG00000187733.6 chr1 104293028 AMY1C
ENSG00000174876.12 chr1 104230040 AMY1B
ENSG00000160049.7 chr1 10516579 DFFA
ENSG00000142655.8 chr1 10534944 PEX14
ENSG00000130940.10 chr1 10707270 CASZ1
ENSG00000198890.6 chr1 107599267 PRMT6
ENSG00000134215.11 chr1 108113782 VAV3
ENSG00000085491.11 chr1 108676658 SLC25A24
ENSG00000162636.11 chr1 109102711 FAM102B
ENSG00000162639.11 chr1 109190917 HENMT1
ENSG00000134186.7 chr1 109234945 PRPF38B
ENSG00000116266.6 chr1 109289310 STXBP3
ENSG00000121957.7 chr1 109419603 GPSM2
ENSG00000121940.11 chr1 109472130 CLCC1
ENSG00000085433.11 chr1 109512836 WDR47
ENSG00000215717.4 chr1 109633357 TMEM167B
ENSG00000031698.8 chr1 109756540 SARS
ENSG00000197780.5 chr1 109606762 TAF13
ENSG00000134222.12 chr1 109822179 PSRC1
ENSG00000162650.11 chr1 110026561 ATXN7L2
ENSG00000134243.7 chr1 109852192 SORT1
ENSG00000065135.7 chr1 110091233 GNAI3
ENSG00000143106.8 chr1 109941653 PSMA5
ENSG00000168765.11 chr1 110198703 GSTM4
ENSG00000213366.8 chr1 110210688 GSTM2
ENSG00000134184.8 chr1 110230442 GSTM1
ENSG00000174151.10 chr1 110036721 CYB561D1
ENSG00000120948.11 chr1 11072699 TARDBP
ENSG00000198758.6 chr1 110292702 EPS8L3
ENSG00000168710.13 chr1 110527308 AHCYL1
ENSG00000143093.10 chr1 110577238 STRIP1
ENSG00000162775.10 chr1 110881128 RBM15
ENSG00000143125.5 chr1 110993822 PROK1
ENSG00000198793.8 chr1 11166592 MTOR
ENSG00000134248.9 chr1 110943875 LAMTOR5
ENSG00000215784.4 chr1 143896452 FAM72D
ENSG00000116649.5 chr1 11114646 SRM
ENSG00000143119.8 chr1 111415776 CD53
ENSG00000171824.9 chr1 11126675 EXOSC10
ENSG00000156171.10 chr1 111659957 DRAM2
ENSG00000134255.9 chr1 111682848 CEPT1
ENSG00000162777.12 chr1 111729796 DENND2D
ENSG00000116459.6 chr1 111991558 ATP5F1
ENSG00000143110.7 chr1 112016414 C1orf162
ENSG00000085465.11 chr1 111956936 OVGP1
ENSG00000116473.10 chr1 112162405 RAP1A
ENSG00000116455.9 chr1 111982512 WDR77
ENSG00000121933.13 chr1 112025970 ADORA3
ENSG00000197852.8 chr1 112269128 FAM212B
ENSG00000171385.5 chr1 112318431 KCND3
ENSG00000120942.9 chr1 11333263 UBIAD1
ENSG00000143079.9 chr1 112938803 CTTNBP2NL
ENSG00000116489.8 chr1 113161795 CAPZA1
ENSG00000155363.14 chr1 113217043 MOV10
ENSG00000007341.14 chr1 113084412 ST7L
ENSG00000155366.11 chr1 113243753 RHOC
ENSG00000198799.6 chr1 113615831 LRIG2
ENSG00000116793.11 chr1 114239824 PHTF1
ENSG00000134242.11 chr1 114356433 PTPN22
ENSG00000134262.8 chr1 114437370 AP4B1
ENSG00000078808.12 chr1 1152311 SDF4
ENSG00000118655.4 chr1 114447763 DCLRE1B
ENSG00000081019.9 chr1 114304454 RSBN1
ENSG00000175984.10 chr1 115125469 DENND2C
ENSG00000197323.6 chr1 114935399 TRIM33
ENSG00000213281.4 chr1 115247090 NRAS
ENSG00000116752.5 chr1 115110178 BCAS2
ENSG00000052723.7 chr1 115312100 SIKE1
ENSG00000009307.11 chr1 115259538 CSDE1
ENSG00000134198.5 chr1 115590632 TSPAN2
ENSG00000176022.3 chr1 1167629 B3GALT6
ENSG00000163393.8 chr1 116519119 SLC22A15
ENSG00000116663.6 chr1 11724181 FBXO6
ENSG00000116670.10 chr1 11734538 MAD2L2
